Timestamp,Instrument_Key,Instrument_Value,Market_Key,Market_Value
2024-12-11 18:21:12,chain_id,c277b118-58d9-4060-8dc5-a3b5898955cb,2024-12-11 18:21:12,chain_symbol,SPY,2024-12-11 18:21:12,created_at,2024-11-28T02:06:41.361520Z,2024-12-11 18:21:12,expiration_date,2024-12-12,2024-12-11 18:21:12,id,32064071-e9a7-49b4-a8e2-6966b23364b5,2024-12-11 18:21:12,issue_date,2024-11-29,2024-12-11 18:21:12,min_ticks,{'above_tick': '0.01', 'below_tick': '0.01', 'cutoff_price': '0.00'},2024-12-11 18:21:12,rhs_tradability,tradable,2024-12-11 18:21:12,state,active,2024-12-11 18:21:12,strike_price,608.0000,2024-12-11 18:21:12,tradability,tradable,2024-12-11 18:21:12,type,call,2024-12-11 18:21:12,updated_at,2024-11-28T02:06:41.361524Z,2024-12-11 18:21:12,url,https://api.robinhood.com/options/instruments/32064071-e9a7-49b4-a8e2-6966b23364b5/,2024-12-11 18:21:12,sellout_datetime,2024-12-12T20:30:00+00:00,2024-12-11 18:21:12,long_strategy_code,32064071-e9a7-49b4-a8e2-6966b23364b5_L1,2024-12-11 18:21:12,short_strategy_code,32064071-e9a7-49b4-a8e2-6966b23364b5_S1,,adjusted_mark_price,0.710000
,adjusted_mark_price_round_down,0.700000
,ask_price,0.710000
,ask_size,182
,bid_price,0.700000
,bid_size,76
,break_even_price,608.710000
,high_price,1.490000
,instrument,https://api.robinhood.com/options/instruments/32064071-e9a7-49b4-a8e2-6966b23364b5/
,instrument_id,32064071-e9a7-49b4-a8e2-6966b23364b5
,last_trade_price,0.710000
,last_trade_size,49
,low_price,0.530000
,mark_price,0.705000
,open_interest,4193
,previous_close_date,2024-12-10
,previous_close_price,0.370000
,updated_at,2024-12-11T21:14:59.248194048Z
,volume,93907
,symbol,SPY
,occ_symbol,SPY   241212C00608000
,state,active
,chance_of_profit_long,0.307768
,chance_of_profit_short,0.692232
,delta,0.425487
,gamma,0.171671
,implied_volatility,0.077412
,rho,0.006075
,theta,-0.710000
,vega,0.115599
,pricing_model,Bjerksund-Stensland 1993
,high_fill_rate_buy_price,0.705000
,high_fill_rate_sell_price,0.704000
,low_fill_rate_buy_price,0.700000
,low_fill_rate_sell_price,0.709000
2024-12-11 18:21:22,chain_id,c277b118-58d9-4060-8dc5-a3b5898955cb,2024-12-11 18:21:22,chain_symbol,SPY,2024-12-11 18:21:22,created_at,2024-11-28T02:06:41.361520Z,2024-12-11 18:21:22,expiration_date,2024-12-12,2024-12-11 18:21:22,id,32064071-e9a7-49b4-a8e2-6966b23364b5,2024-12-11 18:21:22,issue_date,2024-11-29,2024-12-11 18:21:22,min_ticks,{'above_tick': '0.01', 'below_tick': '0.01', 'cutoff_price': '0.00'},2024-12-11 18:21:22,rhs_tradability,tradable,2024-12-11 18:21:22,state,active,2024-12-11 18:21:22,strike_price,608.0000,2024-12-11 18:21:22,tradability,tradable,2024-12-11 18:21:22,type,call,2024-12-11 18:21:22,updated_at,2024-11-28T02:06:41.361524Z,2024-12-11 18:21:22,url,https://api.robinhood.com/options/instruments/32064071-e9a7-49b4-a8e2-6966b23364b5/,2024-12-11 18:21:22,sellout_datetime,2024-12-12T20:30:00+00:00,2024-12-11 18:21:22,long_strategy_code,32064071-e9a7-49b4-a8e2-6966b23364b5_L1,2024-12-11 18:21:22,short_strategy_code,32064071-e9a7-49b4-a8e2-6966b23364b5_S1,,adjusted_mark_price,0.710000
,adjusted_mark_price_round_down,0.700000
,ask_price,0.710000
,ask_size,182
,bid_price,0.700000
,bid_size,76
,break_even_price,608.710000
,high_price,1.490000
,instrument,https://api.robinhood.com/options/instruments/32064071-e9a7-49b4-a8e2-6966b23364b5/
,instrument_id,32064071-e9a7-49b4-a8e2-6966b23364b5
,last_trade_price,0.710000
,last_trade_size,49
,low_price,0.530000
,mark_price,0.705000
,open_interest,4193
,previous_close_date,2024-12-10
,previous_close_price,0.370000
,updated_at,2024-12-11T21:14:59.248194048Z
,volume,93907
,symbol,SPY
,occ_symbol,SPY   241212C00608000
,state,active
,chance_of_profit_long,0.307755
,chance_of_profit_short,0.692245
,delta,0.425480
,gamma,0.171681
,implied_volatility,0.077412
,rho,0.006074
,theta,-0.710000
,vega,0.115590
,pricing_model,Bjerksund-Stensland 1993
,high_fill_rate_buy_price,0.705000
,high_fill_rate_sell_price,0.704000
,low_fill_rate_buy_price,0.700000
,low_fill_rate_sell_price,0.709000
